DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1999-9388-DJI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,DJI,Djibouti,Sub-Saharan Africa,Africa,"Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah provinces",,,Yes,No,No,1556.0,,Km2,,,,2001,6.0,,2001,,,,,100000.0,,100000.0,,,,,,,60.5035788853056,"[{""adm1_code"":1093,""adm1_name"":""Ali Sabieh""},{""adm1_code"":1094,""adm1_name"":""Dikhil""},{""adm1_code"":1095,""adm1_name"":""Djibouti""},{""adm1_code"":1096,""adm1_name"":""Obock""},{""adm1_code"":1097,""adm1_name"":""Tadjourah""}]",2006-03-01,2023-09-25
1999-9388-SDN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SDN,Sudan,Northern Africa,Africa,"Northern Darfur, Northern Kordofan, Red Sea provinces",,Food shortage|Water shortage,No,No,No,,,Km2,,,,2000,1.0,,2001,,,,,2000000.0,,2000000.0,,,,,,,58.8406484917497,"[{""adm1_code"":2757,""adm1_name"":""Northern Darfur""},{""adm1_code"":40772,""adm1_name"":""Red Sea""},{""adm1_code"":68784,""adm1_name"":""Northern Kordofan""}]",2006-03-08,2023-09-25
1999-9388-SOM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SOM,Somalia,Sub-Saharan Africa,Africa,"Ceel Barde, Rab Dhuure, Tayeeglow, Xudur districts (Bakool province), Garbahaarey, Baardheere districts (Gedo province), Bay, Hiraan provinces ",,Food shortage,No,No,No,,,Km2,,,,2000,1.0,,2001,,,21.0,,1200000.0,,1200000.0,,,,,,,58.8406484917497,"[{""adm1_code"":2691,""adm1_name"":""Bay""},{""adm1_code"":2695,""adm1_name"":""Hiraan""},{""adm2_code"":25657,""adm2_name"":""Ceel Barde""},{""adm2_code"":25658,""adm2_name"":""Rab Dhuure""},{""adm2_code"":25659,""adm2_name"":""Tayeeglow""},{""adm2_code"":25661,""adm2_name"":""Xudur""},{""adm2_code"":25678,""adm2_name"":""Baardheere""},{""adm2_code"":25682,""adm2_name"":""Garbahaarey""}]",2006-03-08,2023-09-25
2000-9138-JAM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,JAM,Jamaica,Latin America and the Caribbean,Americas,"Clarendon, Hanover, Manchester, Portland, Saint Ann, Saint Catherine, Saint Elizabeth, Saint James, Saint Thomas, Trelawny, Westmoreland provinces",,,No,No,No,,,Km2,,,,2000,3.0,,2000,,,,,,,,,,,,6000.0,10197.0,58.8406484917497,"[{""adm1_code"":1636,""adm1_name"":""Clarendon""},{""adm1_code"":1637,""adm1_name"":""Hanover""},{""adm1_code"":1638,""adm1_name"":""Manchester""},{""adm1_code"":1639,""adm1_name"":""Portland""},{""adm1_code"":1641,""adm1_name"":""Saint Ann""},{""adm1_code"":1642,""adm1_name"":""Saint Catherine""},{""adm1_code"":1643,""adm1_name"":""Saint Elizabeth""},{""adm1_code"":1644,""adm1_name"":""Saint James""},{""adm1_code"":1646,""adm1_name"":""Saint Thomas""},{""adm1_code"":1647,""adm1_name"":""Trelawny""},{""adm1_code"":1648,""adm1_name"":""Westmoreland""}]",2006-02-28,2023-09-25
2000-9173-CYP,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,CYP,Cyprus,Western Asia,Asia,"Famgusta, Kyrenia, Larnaca, Limassol, Nicosia, Paphos provinces",,,No,No,No,,,Km2,,,,2000,3.0,,2000,,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":1024,""adm1_name"":""Famgusta""},{""adm1_code"":1025,""adm1_name"":""Kyrenia""},{""adm1_code"":1026,""adm1_name"":""Larnaca""},{""adm1_code"":1027,""adm1_name"":""Limassol""},{""adm1_code"":1028,""adm1_name"":""Nicosia""},{""adm1_code"":1029,""adm1_name"":""Paphos""}]",2006-02-28,2023-09-25
2000-9186-AFG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,AFG,Afghanistan,Southern Asia,Asia,"Kandahar, Hilmand, Nimroz, Zabul, Uruzgan provinces (south-west), Hirat, Farah, Badghis provinces (west), Paktika, Khost, Ghazni provinces (south), Baghlan, Kunduz, Takhar, Badakhshan provinces (north-east)",,Famine|Water shortage,No,Yes,No,715539.0,,Km2,,,,2000,5.0,,2002,,,37.0,,2580000.0,,2580000.0,,,,,50.0,85.0,58.8406484917497,"[{""adm1_code"":272,""adm1_name"":""Badakhshan""},{""adm1_code"":273,""adm1_name"":""Badghis""},{""adm1_code"":274,""adm1_name"":""Baghlan""},{""adm1_code"":277,""adm1_name"":""Farah""},{""adm1_code"":279,""adm1_name"":""Ghazni""},{""adm1_code"":281,""adm1_name"":""Hilmand""},{""adm1_code"":282,""adm1_name"":""Hirat""},{""adm1_code"":285,""adm1_name"":""Kandahar""},{""adm1_code"":287,""adm1_name"":""Khost""},{""adm1_code"":289,""adm1_name"":""Kunduz""},{""adm1_code"":293,""adm1_name"":""Nimroz""},{""adm1_code"":295,""adm1_name"":""Paktika""},{""adm1_code"":300,""adm1_name"":""Takhar""},{""adm1_code"":303,""adm1_name"":""Zabul""},{""adm1_code"":99881,""adm1_name"":""Uruzgan""}]",2008-01-03,2023-09-25
2000-9186-TJK,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,TJK,Tajikistan,Central Asia,Asia,"Kabodien, Shaartuskiy, Jilikul, Ghozimalik, Kumsangirskiy, Piynjskiy districts (Khatlon province), Gorno Badakhshan Autonomous Oblast (Badakhshoni Kuni province), Leninabad Oblast (Sogd province)",Dry and hot weather,,Yes,No,No,15918.0,2500.0,Km2,,,,2000,5.0,,2001,,,,,3000000.0,,3000000.0,,,,,57000.0,96872.0,58.8406484917497,"[{""adm1_code"":2847,""adm1_name"":""Badakhshoni Kuni""},{""adm1_code"":2849,""adm1_name"":""Sogd""},{""adm2_code"":37585,""adm2_name"":""Ghozimalik""},{""adm2_code"":37587,""adm2_name"":""Jilikul""},{""adm2_code"":37588,""adm2_name"":""Kabodien""},{""adm2_code"":37591,""adm2_name"":""Kumsangirskiy""},{""adm2_code"":37596,""adm2_name"":""Piynjskiy""},{""adm2_code"":37597,""adm2_name"":""Shaartuskiy""}]",2008-01-03,2023-09-25
2000-9222-IND,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,"New Delhi city (Delhi province), Gujarat, Rajasthan, Madhya Prasdesh, Andhra Pradesh, Orissa, Maharashtra provinces",,Food shortage|Heat wave,No,No,Yes,2247.0,,Km2,,,,2000,4.0,,2001,,,20.0,,50000000.0,,50000000.0,,,,,588000.0,999309.0,58.8406484917497,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""},{""adm1_code"":1489,""adm1_name"":""Delhi""},{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1506,""adm1_name"":""Rajasthan""},{""adm1_code"":70079,""adm1_name"":""Madhya Pradesh""}]",2008-01-03,2023-09-25
2000-9267-CHN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,CHN,China,Eastern Asia,Asia,"Jilin Sheng, Jiangxi Sheng, Anhui Sheng provinces",,,No,No,No,,32650.0,Km2,,,,2000,4.0,,2000,,,,,15000000.0,,15000000.0,,,,,796115.0,1353002.0,58.8406484917497,"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":915,""adm1_name"":""Jilin Sheng""}]",2006-02-28,2023-09-25
2000-9309-MDG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MDG,Madagascar,Sub-Saharan Africa,Africa,"Ambovombe-Androy, Bekily, Beloha, Tsihombe districts (Androy province), Amboasary-Atsimo ditrict (Anosy province), Ampanihy Ouest district (Atsimo Andrefana province), Ambatatondraza, Amparafaravola, Andilamena, district (Alaotra Mangoro province), Vatomandry, Marolambo, Antanambao Manamposty districts (Atsinanana province), Antsirabe I, Antsirable II, Faratsiho, Antanifotsy, Betafo districts (Vakinankaratra province)",,,No,No,No,420.0,,Km2,,,,2000,6.0,,2000,,,,,231290.0,,231290.0,,,,,,,58.8406484917497,"[{""adm2_code"":154509,""adm2_name"":""Ambatondrazaka""},{""adm2_code"":154510,""adm2_name"":""Amparafaravola""},{""adm2_code"":154511,""adm2_name"":""Andilamena""},{""adm2_code"":154531,""adm2_name"":""Ambovombe-Androy""},{""adm2_code"":154532,""adm2_name"":""Bekily""},{""adm2_code"":154533,""adm2_name"":""Beloha""},{""adm2_code"":154534,""adm2_name"":""Tsihombe""},{""adm2_code"":154535,""adm2_name"":""Amboasary-Atsimo""},{""adm2_code"":154538,""adm2_name"":""Ampanihy Ouest""},{""adm2_code"":154552,""adm2_name"":""Antanambao Manampontsy""},{""adm2_code"":154555,""adm2_name"":""Marolambo""},{""adm2_code"":154558,""adm2_name"":""Vatomandry""},{""adm2_code"":123868,""adm2_name"":""Betafo""},{""adm2_code"":154607,""adm2_name"":""Antanifotsy""},{""adm2_code"":154608,""adm2_name"":""Antsirabe I""},{""adm2_code"":154609,""adm2_name"":""Antsirabe II""},{""adm2_code"":154610,""adm2_name"":""Faratsiho""}]",2008-01-03,2023-09-25
