DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0008-GTM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Pacaya,GTM,Guatemala,Latin America and the Caribbean,Americas,"El Caracol, El Patrocinio, El Rodeo, San Francisco de Sales cities (San Vicente Pacaya district, Escuintla province)",,,No,No,No,,,,14.381,-90.601,,2000,1.0,16.0,2000,1.0,16.0,,,800.0,,800.0,,,,,,,58.8406484917497,"[{""adm2_code"":64911,""adm2_name"":""San Vicente Pacaya""}]",2014-07-28,2023-09-25
2000-0089-PHL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,PHL,Philippines,South-eastern Asia,Asia,"Legazpi City area (Albay district, Region V (Bicol region) province)",,,Yes,No,No,647.0,,,13.257,123.685,,2000,2.0,24.0,2000,3.0,9.0,,,68426.0,,68426.0,,,,,2214.0,3763.0,58.8406484917497,"[{""adm2_code"":24240,""adm2_name"":""Albay""}]",2005-06-01,2023-09-25
2000-0176-JPN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Isu,JPN,Japan,Eastern Asia,Asia,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)",,,No,No,No,,,,34.92,139.12,,2000,3.0,31.0,2000,4.0,13.0,,,12400.0,,12400.0,,,,,,,58.8406484917497,"[{""adm2_code"":34168,""adm2_name"":""Abutatyoo""},{""adm2_code"":34187,""adm2_name"":""Datesi""},{""adm2_code"":34341,""adm2_name"":""Soobetutyoo""}]",2014-07-28,2023-09-25
2000-0515-JPN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Oyama,JPN,Japan,Eastern Asia,Asia,Miyakemura district (Tookyoo province),,,No,No,No,,,,,,,2000,8.0,10.0,2000,8.0,10.0,,,4000.0,,4000.0,,,,,,,58.8406484917497,"[{""adm2_code"":36316,""adm2_name"":""Miyakemura""}]",2005-06-01,2023-09-25
2000-0804-MEX,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Popocatépetl,MEX,Mexico,Latin America and the Caribbean,Americas,"Mexico, Puebla, Morelos provinces",,,No,No,No,,,,19.023,-98.622,,2000,12.0,18.0,2000,12.0,19.0,,,41000.0,,41000.0,,,,,,,58.8406484917497,"[{""adm1_code"":2042,""adm1_name"":""Mexico""},{""adm1_code"":2044,""adm1_name"":""Morelos""},{""adm1_code"":2048,""adm1_name"":""Puebla""}]",2005-06-01,2023-09-25
2001-0254-VUT,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Lopevi,VUT,Vanuatu,Melanesia,Oceania,Paama island (Malampa province),,,No,No,No,,,,-16.507,168.346,,2001,6.0,8.0,2001,6.0,8.0,,,4500.0,,4500.0,,,,,,,60.5035788853056,"[{""adm2_code"":31850,""adm2_name"":""Administrative unit not available""}]",2005-06-01,2023-09-25
2001-0297-PHL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,PHL,Philippines,South-eastern Asia,Asia,"Daraga, Bacacay, Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)",,,No,Yes,No,247.0,,,13.257,123.685,,2001,5.0,24.0,2001,5.0,24.0,,,25576.0,,25576.0,,,,,792.0,1309.0,60.5035788853056,"[{""adm2_code"":24240,""adm2_name"":""Albay""}]",2014-07-28,2023-09-25
2001-0378-ITA,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Etna,ITA,Italy,Southern Europe,Europe,"Nicolosi municipality (Catania Province, Sicilia Region)",,,No,No,No,,,,37.734,15.004,,2001,7.0,18.0,2001,7.0,18.0,,,,,,,,,,3100.0,5124.0,60.5035788853056,"[{""adm2_code"":18392,""adm2_name"":""Catania""}]",2005-06-01,2023-09-25
2001-0456-ECU,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,ECU,Ecuador,Latin America and the Caribbean,Americas,"Quero, Cevallos, Mocha, San Pedro de Pelileo, Tisaleo districts (Tungurahua province), Penipe, Guano districts (Chimborazo province)",,,Yes,No,No,420.0,,,-1.467,-78.442,,2001,8.0,14.0,2001,8.0,14.0,,,22770.0,,22770.0,,,,,10975.0,18139.0,60.5035788853056,"[{""adm2_code"":15357,""adm2_name"":""Guano""},{""adm2_code"":15359,""adm2_name"":""Penipe""},{""adm2_code"":15524,""adm2_name"":""Cevallos""},{""adm2_code"":15525,""adm2_name"":""Mocha""},{""adm2_code"":15527,""adm2_name"":""Quero""},{""adm2_code"":15529,""adm2_name"":""San Pedro de Pelileo""},{""adm2_code"":15530,""adm2_name"":""Tisaleo""}]",2014-07-28,2023-09-25
2001-0461-PHL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,PHL,Philippines,South-eastern Asia,Asia,"Legazpi City area (Albay district, Region V (Bicol region) province)",,,No,No,No,,,,,,,2001,7.0,25.0,2001,7.0,25.0,,,57645.0,,57645.0,,,,,1788.0,2955.0,60.5035788853056,"[{""adm2_code"":24240,""adm2_name"":""Albay""}]",2014-07-28,2023-09-25
