DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0017-ZAF,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,ZAF,South Africa,Sub-Saharan Africa,Africa,"City of Capta Town Metropolitan Municipality (Western Cape province, Cape Town region)",,,No,No,No,,,Km2,,,,2000,1.0,15.0,2000,1.0,19.0,,,1000.0,250.0,1250.0,,,8000.0,13596.0,10000.0,16995.0,58.8406484917497,"[{""adm2_code"":77317,""adm2_name"":""City of Cape Town Metropolitan Municipality""}]",2005-07-08,2023-09-25
2000-0104-ETH,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Bale, Borena districts (Oromia province) Wondo genet city (Sidama district, SNNPR province)",,,No,No,No,,970.0,Km2,,,,2000,2.0,,2000,2.0,,,5.0,,,5.0,,,,,,,58.8406484917497,"[{""adm2_code"":40838,""adm2_name"":""Sidama""},{""adm2_code"":47688,""adm2_name"":""Borena""},{""adm2_code"":149288,""adm2_name"":""Bale""}]",2003-07-01,2023-09-25
2000-0117-IDN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,IDN,Indonesia,South-eastern Asia,Asia,"Riau province (Sumatra Isl.), Kalimatan Barat, Kalimatan Tengah provinces (Borneo Isl.) ",,,No,No,No,,,Km2,,,,2000,2.0,,2000,2.0,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":1522,""adm1_name"":""Kalimantan Barat""},{""adm1_code"":1524,""adm1_name"":""Kalimantan Tengah""},{""adm1_code"":73618,""adm1_name"":""Riau""}]",2003-07-01,2023-09-25
2000-0128-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,No,No,No,,113.0,Km2,,,,2000,2.0,26.0,2000,2.0,26.0,,,600.0,,600.0,,,,,,,58.8406484917497,"[{""adm2_code"":28998,""adm2_name"":""Alachua""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29030,""adm2_name"":""Lafayette""}]",2003-07-01,2023-09-25
2000-0188-TUR,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,TUR,Türkiye,Western Asia,Asia,"Bursa, Canakkale, Balikesir provinces",,,No,No,No,,8.0,Km2,,,,2000,4.0,5.0,2000,4.0,5.0,,,,350.0,350.0,,,,,,,58.8406484917497,"[{""adm1_code"":3028,""adm1_name"":""Balikesir""},{""adm1_code"":3037,""adm1_name"":""Bursa""},{""adm1_code"":3038,""adm1_name"":""Canakkale""}]",2003-07-01,2023-09-25
2000-0194-KOR,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,KOR,Republic of Korea,Eastern Asia,Asia,"Kangnung, Tonghae, Samchok cities (Kang-won-do province)",,,No,No,No,,100.0,Km2,,,,2000,4.0,6.0,2000,4.0,6.0,2.0,15.0,,840.0,855.0,,,,,,,58.8406484917497,"[{""adm1_code"":2437,""adm1_name"":""Kang-won-do""}]",2003-07-01,2023-09-25
2000-0215-HND,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,HND,Honduras,Latin America and the Caribbean,Americas,"Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, Francisco Morazan, Gracias A Dios, Intibuca, Islas De Bahia, La Paz, Lempira, Name Unknown, Ocotepeque, Olancho, Paraiso, Santa Barbara, Valle, Yoro provinces",,,No,No,No,,125.0,Km2,,,,2000,2.0,,2000,2.0,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":1420,""adm1_name"":""Atlantida""},{""adm1_code"":1421,""adm1_name"":""Choluteca""},{""adm1_code"":1422,""adm1_name"":""Colon""},{""adm1_code"":1423,""adm1_name"":""Comayagua""},{""adm1_code"":1424,""adm1_name"":""Copan""},{""adm1_code"":1425,""adm1_name"":""Cortes""},{""adm1_code"":1426,""adm1_name"":""Francisco Morazan""},{""adm1_code"":1427,""adm1_name"":""Gracias A Dios""},{""adm1_code"":1428,""adm1_name"":""Intibuca""},{""adm1_code"":1429,""adm1_name"":""Islas De Bahia""},{""adm1_code"":1430,""adm1_name"":""La Paz""},{""adm1_code"":1431,""adm1_name"":""Lempira""},{""adm1_code"":1432,""adm1_name"":""Name Unknown""},{""adm1_code"":1433,""adm1_name"":""Ocotepeque""},{""adm1_code"":1434,""adm1_name"":""Olancho""},{""adm1_code"":1435,""adm1_name"":""Paraiso""},{""adm1_code"":1436,""adm1_name"":""Santa Barbara""},{""adm1_code"":1437,""adm1_name"":""Valle""},{""adm1_code"":1438,""adm1_name"":""Yoro""}]",2003-07-01,2023-09-25
2000-0218-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,Koryakskiy Okrug province,,,No,No,No,,250.0,Km2,,,,2000,7.0,,2000,7.0,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":2522,""adm1_name"":""Koryakskiy Okrug""}]",2003-07-01,2023-09-25
2000-0231-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,"Buryatiya Rep., Irkutskaya Oblast, Chitinskaya Oblast, Aginskiy Buryatskiy A. Okrug provinces",,,No,No,No,,930.0,Km2,,,,2000,5.0,,2000,5.0,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":2488,""adm1_name"":""Aginskiy Buryatskiy A. Okrug""},{""adm1_code"":2497,""adm1_name"":""Buryatiya Rep.""},{""adm1_code"":2500,""adm1_name"":""Chitinskaya Oblast""},{""adm1_code"":2506,""adm1_name"":""Irkutskaya Oblast""}]",2003-07-01,2023-09-25
2000-0240-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",,,No,No,No,,194.0,Km2,,,,2000,5.0,,2000,9.0,,,,25000.0,400.0,25400.0,,,200500.0,340751.0,1500000.0,2549258.0,58.8406484917497,"[{""adm2_code"":30487,""adm2_name"":""Los Alamos""},{""adm2_code"":30493,""adm2_name"":""Rio Arriba""},{""adm2_code"":30497,""adm2_name"":""Sandoval""},{""adm2_code"":30498,""adm2_name"":""Santa Fe""}]",2006-08-15,2023-09-25
2000-0279-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,No,No,No,,16.0,Km2,,,,2000,5.0,14.0,2000,5.0,14.0,,,,,,,,,,,,58.8406484917497,"[{""adm2_code"":29053,""adm2_name"":""Sarasota""}]",2003-07-01,2023-09-25
2000-0295-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,"Komi Rep., Arkhangelskaya Oblast provinces",,,No,No,No,,1000.0,Km2,,,,2000,7.0,,2000,7.0,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":2492,""adm1_name"":""Arkhangelskaya Oblast""},{""adm1_code"":2520,""adm1_name"":""Komi Rep.""}]",2003-07-01,2023-09-25
2000-0329-CYP,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CYP,Cyprus,Western Asia,Asia,Larnaca province,,,No,No,No,,40.0,Km2,,,,2000,6.0,13.0,2000,6.0,13.0,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":1026,""adm1_name"":""Larnaca""}]",2003-07-01,2023-09-25
2000-0363-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Park, Jefferson, Larimer districts (Colorado province)",,,No,No,No,,85.0,Km2,,,,2000,6.0,12.0,2000,6.0,12.0,,,800.0,210.0,1010.0,,,,,,,58.8406484917497,"[{""adm2_code"":28957,""adm2_name"":""Larimer""},{""adm2_code"":28969,""adm2_name"":""Park""},{""adm2_code"":154741,""adm2_name"":""Jefferson""}]",2003-07-01,2023-09-25
2000-0406-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Hanford area (Benton district, Washington province)",,,No,No,No,,607.0,Km2,,,,2000,6.0,27.0,2000,6.0,27.0,,2.0,8000.0,75.0,8077.0,,,,,,,58.8406484917497,"[{""adm2_code"":31632,""adm2_name"":""Benton""}]",2003-07-01,2023-09-25
2000-0407-BGR,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,BGR,Bulgaria,Eastern Europe,Europe,"Haskovo, Jambol, Burgas, Stara Zagora, Plovdiv provinces",,,No,No,No,,36.0,Km2,,,,2000,7.0,1.0,2000,7.0,1.0,7.0,17.0,,150.0,167.0,,,,,17600.0,29911.0,58.8406484917497,"[{""adm1_code"":703,""adm1_name"":""Burgas""},{""adm1_code"":706,""adm1_name"":""Haskovo""},{""adm1_code"":707,""adm1_name"":""Jambol""},{""adm1_code"":715,""adm1_name"":""Plovdiv""},{""adm1_code"":724,""adm1_name"":""Stara Zagora""}]",2003-07-01,2023-09-25
2000-0450-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Alaska province,,,No,No,No,,2363.0,Km2,,,,2000,7.0,,2000,7.0,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":3215,""adm1_name"":""Alaska""}]",2003-07-01,2023-09-25
2000-0455-GRC,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,GRC,Greece,Southern Europe,Europe,"Samos island (Samou district, Voreio Aigaio province), Agioi Theodoroi, Kiato, Korinthias areas (Korinthias district, Peloponnisos province), Diakofto area (Achaias district, Dytiki Ellada province), Thassos island (Kavalas district, Anatoliki Makedonia Kai Thraki province), Chios island (Chiou district, Voreio Aigaio province), Mandra area (Attikis district, Attiki province), Rhode island (Dodekanisou district, Notio Aigaio province), Sterea Ellada, Thessalia provinces",,,Yes,No,No,,115.0,Km2,,,,2000,7.0,,2000,7.0,,2.0,12.0,,90.0,102.0,,,,,,,58.8406484917497,"[{""adm1_code"":1346,""adm1_name"":""Sterea Ellada""},{""adm1_code"":1347,""adm1_name"":""Thessalia""},{""adm2_code"":16677,""adm2_name"":""Kavalas""},{""adm2_code"":16680,""adm2_name"":""Attikis""},{""adm2_code"":16681,""adm2_name"":""Achaias""},{""adm2_code"":16712,""adm2_name"":""Korinthias""},{""adm2_code"":16724,""adm2_name"":""Chiou""},{""adm2_code"":16726,""adm2_name"":""Samou""},{""adm2_code"":16708,""adm2_name"":""Dodekanisou""}]",2003-07-01,2023-09-25
2000-0465-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",,,No,No,No,,680000.0,Km2,,,,2000,7.0,,2000,8.0,,14.0,,1000.0,,1000.0,,,,,1000000.0,1699505.0,58.8406484917497,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2007-08-27,2023-09-25
2000-0514-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,Khabarovskiy Kray province,,,No,No,No,,120.0,Km2,,,,2000,6.0,,2000,6.0,,,,,,,,,,,,,58.8406484917497,"[{""adm1_code"":2516,""adm1_name"":""Khabarovskiy Kray""}]",2003-07-01,2023-09-25
